# Generated by `homm2 audit cross-version`; do not hand-edit.
# reference: /home/sheep/Projects/homm2/homm2-decomp
# lead: parity-gap = 2.0 reached 100% and this branch has not.
# transition: od-od = /Od both sides (shape transfers);
#             o2-od = 2.0 proved semantics only, /Od detail is new work.
# size_outlier: retail size delta outside the both-exact envelope
#               for its transition class - a body-change candidate.
lead	unit	symbol	buka_best	pol_best	buka_live	buka_max	pol_live	pol_max	unmatched_bytes	buka_rva	pol_rva	buka_size	pol_size	size_delta	size_rel	profile	transition	size_outlier
parity-gap	BASE/Textntry	?Main@textEntryWidget@@UAEHAAUtag_message@@@Z	55.9863	100.0000	55.9726	55.9863	100.0000	100.0000	1186	0xd22a0	0xd8b90	0xa85	0x874	529	+0.244	o2->base	o2-od	
parity-gap	BASE/icon2by	?IconToBitmapYModify@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAC@Z	38.3308	100.0000	38.3308	38.3308	92.9569	100.0000	1028	0xd5a50	0xda270	0x683	0x588	251	+0.177	o2->base	o2-od	
parity-gap	SOURCE/ADVMGR	?QuickInfo@advManager@@QAEXHH@Z	75.9321	100.0000	75.9321	75.9321	100.0000	100.0000	1003	0x9363	0x5f127	0x1047	0x133e	-759	-0.154	base->base	od-od	
parity-gap	BASE/Misc	?SetupCDDrive@@YIHXZ	0.0000	100.0000	0.0000	0.0000	100.0000	100.0000	863	0xbf370	0xc5a60	0x35f	0x3ed	-142	-0.141	o2->base_nogf	o2-od	
parity-gap	BASE/droplist	?Main@dropListWidget@@UAEHAAUtag_message@@@Z	21.1576	100.0000	21.1576	21.1576	100.0000	100.0000	844	0xd0380	0xdc2e0	0x42f	0x350	223	+0.263	o2->base	o2-od	
parity-gap	BASE/listbox	?ProcessMouseMessage@listBoxWidget@@QAEHAAUtag_message@@@Z	37.0627	100.0000	37.0627	37.0627	99.1322	100.0000	797	0xcf860	0xdbbe0	0x4f2	0x312	480	+0.611	o2->base	o2-od	
parity-gap	BASE/ICONWDGT	?Main@iconWidget@@UAEHAAUtag_message@@@Z	0.0000	100.0000	0.0000	0.0000	100.0000	100.0000	776	0xbba10	0xd0cd0	0x308	0x291	119	+0.181	o2->base	o2-od	
parity-gap	SOURCE/GAME	?ClaimMine@game@@QAEXHH@Z	4.6752	100.0000	4.6752	4.6752	100.0000	100.0000	763	0x542da	0x79394	0x320	0x4c2	-418	-0.343	base->base	od-od	
parity-gap	SOURCE/dpnetwin	?DPSD@@YIXHPADH@Z	45.9670	100.0000	45.9670	45.9670	100.0000	100.0000	703	0x376f3	0x1fecd	0x515	0x5eb	-214	-0.141	base->base	od-od	
parity-gap	SOURCE/EVENTS	?GiveTakeArtifactStat@@YIXPAVhero@@HH@Z	5.6556	100.0000	5.6026	5.6556	100.0000	100.0000	689	0x44571	0xb1380	0x2da	0x5f3	-793	-0.521	base->base_nogf	od-od	yes
parity-gap	BASE/listbox	?Main@listBoxWidget@@UAEHAAUtag_message@@@Z	45.1972	100.0000	45.1972	45.1972	99.0488	100.0000	638	0xcee60	0xdb520	0x48c	0x368	292	+0.335	o2->base	o2-od	
parity-gap	SOURCE/SWAPMGR	?Main@swapManager@@UAEHAAUtag_message@@@Z	72.1804	100.0000	72.1804	72.1804	100.0000	100.0000	636	0xa29f4	0x54be3	0x8ef	0xaf0	-513	-0.183	base->base	od-od	
parity-gap	BASE/INPUTMGR	?MakeScanCodeTable@inputManager@@QAEXXZ	43.9343	100.0000	43.9343	43.9343	100.0000	100.0000	634	0xbcd90	0xce650	0x46a	0x33c	302	+0.365	o2->base	o2-od	
parity-gap	SOURCE/ADVMGR	?Main@advManager@@UAEHAAUtag_message@@@Z	81.1266	100.0000	81.1266	81.1266	100.0000	100.0000	629	0x27cf	0x57d6c	0xd07	0xfda	-723	-0.178	base->base	od-od	
parity-gap	SOURCE/wingraph	?DDSD@@YIXHPADH@Z	55.4097	100.0000	55.4097	55.4097	100.0000	100.0000	627	0xb0601	0x35e4f	0x57f	0x5d2	-83	-0.056	base->base_nogf	od-od	
parity-gap	SOURCE/EVENTS	?EventSound@advManager@@QAEXHHPAUSAMPLE2@@@Z	0.0000	100.0000	0.0000	0.0000	100.0000	100.0000	567	0x42f2d	0xafa56	0x237	0x516	-735	-0.565	base->base_nogf	od-od	yes
parity-gap	SOURCE/ADVMGR	?GetSoundId@advManager@@QAEHHH@Z	32.1739	100.0000	32.1739	32.1739	100.0000	100.0000	564	0x108fb	0x66a2f	0x33f	0x4c1	-386	-0.317	base->base	od-od	
parity-gap	SOURCE/KB	?InterpretCommandLine@@YIHXZ	63.4481	100.0000	63.4481	63.4481	99.9090	100.0000	522	0x67ca8	0x9859c	0x595	0x791	-508	-0.262	base->base	od-od	
parity-gap	SOURCE/GAME	?UpdateSpellWidgets@game@@QAEXXZ	56.0972	100.0000	56.0972	56.0972	100.0000	100.0000	512	0x548cf	0x79a38	0x48f	0x403	140	+0.136	base->base	od-od	
parity-gap	BASE/WIDGET	?Main@widget@@UAEHAAUtag_message@@@Z	44.4462	100.0000	44.4462	44.4462	94.1467	100.0000	478	0xd4180	0xddee0	0x35d	0x2f4	105	+0.139	o2->base	o2-od	
parity-gap	BASE/WINDOW	??0heroWindow@@QAE@HHPAD@Z	75.6675	100.0000	75.6414	75.6675	100.0000	100.0000	416	0xba700	0xcecd0	0x6aa	0x521	393	+0.299	base->base	od-od	yes
parity-gap	SOURCE/tradpost	?UpdateTradingPost@@YIXH@Z	74.0696	100.0000	74.0696	74.0696	100.0000	100.0000	413	0xac873	0xbf4a5	0x639	0x596	163	+0.114	base->base	od-od	
parity-gap	SOURCE/Newgame	?ProcessNGKeyPress@game@@QAEHAAUtag_message@@@Z	52.4091	100.0000	52.4091	52.4091	100.0000	100.0000	409	0x7811b	0xb9db8	0x35c	0x418	-188	-0.179	base->base	od-od	
parity-gap	SOURCE/kbwin	?AppWndProc@@YGJPAXIIJ@Z	68.2086	100.0000	68.2086	68.2086	100.0000	100.0000	408	0x71248	0x1c190	0x503	0x57e	-123	-0.087	base->base	od-od	
parity-gap	BASE/INPUTMGR	?KeyboardMessageHandler@@YIHPAXIIJ@Z	61.1362	100.0000	61.0723	61.1362	100.0000	100.0000	391	0xbbf40	0xcdb50	0x3ec	0x308	228	+0.294	o2->base	o2-od	
parity-gap	BASE/INPUTMGR	?AsciiConvert@inputManager@@QAEXAAUtag_message@@@Z	31.4773	100.0000	31.4167	31.4773	99.5232	100.0000	342	0xbcb10	0xce480	0x1f3	0x1cb	40	+0.087	o2->base	o2-od	
parity-gap	SOURCE/GAME	?ViewArmy@game@@QAEXHHHHPAVtown@@HHHPAVhero@@PAVarmy@@PAVarmyGroup@@H@Z	89.7453	100.0000	89.7453	89.7453	100.0000	100.0000	342	0x55529	0x7a649	0xd08	0xc86	130	+0.041	base->base	od-od	
parity-gap	SOURCE/GAME	?GiveTroopsToNeutralTown@game@@QAEXH@Z	53.4302	100.0000	53.3837	53.4302	100.0000	100.0000	337	0x4f352	0x741e6	0x2d3	0x3ee	-283	-0.281	base->base	od-od	
parity-gap	BASE/TEXTWDGT	?Main@textWidget@@UAEHAAUtag_message@@@Z	39.4451	100.0000	39.4451	39.4451	99.2316	100.0000	333	0xc3240	0xd1280	0x226	0x210	22	+0.042	o2->base	o2-od	
parity-gap	SOURCE/Overview	?SetupDynamicStuff@game@@QAEXHHH@Z	95.7375	100.0000	95.7375	95.7375	97.7339	100.0000	330	0x79ba0	0x7870	0x1e46	0x223e	-1016	-0.116	base->base	od-od	
parity-gap	SOURCE/GAME	?DoNewTurn@game@@QAEXXZ	74.3897	100.0000	74.3897	74.3897	100.0000	100.0000	327	0x5e8fe	0x83fc4	0x4fd	0x455	168	+0.151	base->base	od-od	
parity-gap	SOURCE/GAME	?ProcessRandomObjects@game@@QAEXXZ	80.2668	100.0000	80.2668	80.2668	99.7626	100.0000	321	0x5b042	0x8041e	0x65d	0x746	-233	-0.125	base->base	od-od	
parity-gap	BASE/BORDER	?Main@border@@UAEHAAUtag_message@@@Z	22.5366	100.0000	22.4715	22.5366	99.5632	100.0000	317	0xcb390	0xd22f0	0x199	0x181	24	+0.062	o2->base	o2-od	
parity-gap	SOURCE/ADVMGR	?ProcessDeSelect@advManager@@QAEHPAUtag_message@@PAHPAPAVmapCell@@@Z	62.4252	100.0000	62.4252	62.4252	100.0000	100.0000	312	0x4308	0x59c19	0x33e	0x463	-293	-0.261	base->base	od-od	
parity-gap	SOURCE/ADVMGR	?SystemOptionsHandler@@YIHAAUtag_message@@@Z	79.2500	100.0000	79.2500	79.2500	100.0000	100.0000	290	0x14e82	0x6b578	0x575	0x672	-253	-0.153	base->base	od-od	
parity-gap	SOURCE/Overview	?OverviewHandler@@YIHAAUtag_message@@@Z	73.6077	100.0000	73.6077	73.6077	100.0000	100.0000	287	0x7c501	0xa66f	0x441	0x4fd	-188	-0.147	base->base	od-od	
parity-gap	BASE/listbox	?DrawLBStuff@listBoxWidget@@QAEXH@Z	79.4525	100.0000	79.4525	79.4525	100.0000	100.0000	279	0xcf310	0xdb8a0	0x54e	0x334	538	+0.656	o2->base	o2-od	
parity-gap	SOURCE/X_CAMPGN	?MessageHandler@ExpCampaign@@CIHAAUtag_message@@@Z	56.0385	100.0000	56.0385	56.0385	100.0000	100.0000	273	0xb4e54	0xbd639	0x26e	0x32e	-192	-0.236	base->base	od-od	
parity-gap	SOURCE/PHILAI	?ValueOfBuyingBuilding@philAI@@QAEXPAVtown@@HAAHAAM@Z	84.2480	100.0000	84.2480	84.2480	100.0000	100.0000	272	0x83019	0x3ce91	0x6c0	0x826	-358	-0.172	base->base	od-od	
parity-gap	SOURCE/DRAWING	?DrawSmallView@combatManager@@QAEXHH@Z	90.9434	100.0000	90.9434	90.9434	99.9206	100.0000	259	0x3aad6	0x5d0b	0xb29	0xb99	-112	-0.038	base->base	od-od	
parity-gap	SOURCE/ADVMGR	?GetCloudLookup@advManager@@QAEHHH@Z	74.1721	100.0000	74.1721	74.1721	93.2346	100.0000	256	0x5be9	0x5b7d3	0x3e0	0x3a9	55	+0.059	base->base	od-od	
parity-gap	SOURCE/Newgame	?GetSideDesc@game@@QAEHPADHH@Z	71.6850	100.0000	71.6850	71.6850	99.9890	100.0000	255	0x7973c	0xbb3cf	0x386	0x2a7	223	+0.328	base->base	od-od	yes
parity-gap	SOURCE/GAME	?SetupNewRumour@game@@QAEXXZ	84.3372	100.0000	84.3372	84.3372	100.0000	100.0000	253	0x5fdd7	0x8558f	0x64d	0x79f	-338	-0.173	base->base	od-od	
parity-gap	SOURCE/KB	?CheckEndGame@@YIXHH@Z	95.5850	100.0000	95.5850	95.5850	99.4612	100.0000	251	0x69899	0x9a6c1	0x1630	0x19bb	-907	-0.138	base->base	od-od	
parity-gap	SOURCE/ARMY	?Walk@army@@QAEXHHH@Z	90.6427	100.0000	90.6427	90.6427	99.7235	100.0000	243	0x197b2	0x4bc55	0xa27	0xb90	-361	-0.122	base->base	od-od	
parity-gap	BASE/MOUSEMGR	?NewUpdate@mouseManager@@QAEXH@Z	83.7285	100.0000	83.7285	83.7285	99.2879	100.0000	238	0xb9b40	0xc9a40	0x5b8	0x47a	318	+0.277	o2->base	o2-od	
parity-gap	BASE/droplist	?DrawDropStuff@dropListWidget@@QAEXXZ	83.3128	100.0000	83.3128	83.3128	100.0000	100.0000	237	0xd08d0	0xdc6e0	0x58f	0x378	535	+0.602	o2->base	o2-od	
parity-gap	BASE/Ripple	?DoRipple@@YIXPAVbitmap@@0HH@Z	74.7525	100.0000	74.7525	74.7525	99.0968	100.0000	218	0xcb6b0	0xd26a0	0x35e	0x23f	287	+0.499	o2->base	o2-od	
parity-gap	SOURCE/SPELLS	?DrawBolt@combatManager@@QAEXPAUSBolt@@H@Z	79.8626	100.0000	79.8626	79.8626	99.8477	100.0000	215	0x9ce89	0x254ed	0x42e	0x4f0	-194	-0.153	base->base_nogf	od-od	
parity-gap	SOURCE/EVENTS	?EraseObj@advManager@@QAEXPAVmapCell@@HH@Z	90.5524	100.0000	90.5406	90.5524	98.8802	100.0000	213	0x41609	0xae00b	0x8c9	0x9f7	-302	-0.118	base->base_nogf	od-od	
parity-gap	SOURCE/netwin	?nb_add_name_done@@YGXPAUNetbiosControlBlock@@@Z	36.8900	100.0000	36.8700	36.8900	100.0000	100.0000	213	0x74b12	0xa7a81	0x152	0x1ca	-120	-0.262	base->base	od-od	
parity-gap	BASE/listbox	?Read@listBoxWidget@@QAEXXZ	80.5790	100.0000	80.5790	80.5790	100.0000	100.0000	204	0xce840	0xdb160	0x41c	0x26e	430	+0.691	o2->base	o2-od	
parity-gap	BASE/WINMGR	?CycleColors@@YIXH@Z	80.7203	100.0000	80.7203	80.7203	98.0651	100.0000	197	0xb6b80	0xca6d0	0x3ff	0x3a3	92	+0.099	o2->base	o2-od	
parity-gap	SOURCE/KB	?EventWindowHandler@@YIHAAUtag_message@@@Z	78.7435	100.0000	78.7138	78.7435	99.7186	100.0000	196	0x6932f	0x9a09f	0x39b	0x472	-215	-0.189	base->base	od-od	
parity-gap	SOURCE/Newgame	?ShowScenInfo@game@@QAEXXZ	93.8547	100.0000	93.8547	93.8547	100.0000	100.0000	192	0x7869f	0xba39c	0xc36	0xb71	197	+0.067	base->base	od-od	
parity-gap	SOURCE/TOWNMGR	?SetupThievesGuild@townManager@@QAEXPAVheroWindow@@H@Z	94.6928	100.0000	94.6928	94.6928	100.0000	100.0000	189	0xab344	0x1a783	0xde3	0xf0f	-300	-0.078	base->base	od-od	
parity-gap	SOURCE/ADVMGR	?LoadRemote@advManager@@QAEXXZ	64.6593	100.0000	64.6593	64.6593	100.0000	100.0000	187	0x12c7a	0x69160	0x212	0x1be	84	+0.188	base->base	od-od	
parity-gap	SOURCE/CURSOR	?ProcessMapChange@advManager@@QAEXUSMapChange@@@Z	0.0000	100.0000	0.0000	0.0000	100.0000	100.0000	178	0x35ad8	0x10152	0xb2	0x74f	-1693	-0.905	base->base	od-od	yes
parity-gap	SOURCE/ADVMGR	?DoAdvCommand@advManager@@QAEPAVmapCell@@XZ	87.6709	100.0000	87.6709	87.6709	100.0000	100.0000	177	0x20d7	0x5751b	0x59d	0x6c0	-291	-0.168	base->base	od-od	
parity-gap	BASE/TEXTWDGT	?SetText@textWidget@@QAEXPAD@Z	0.0000	100.0000	0.0000	0.0000	96.1290	100.0000	174	0xc3520	0xd14f0	0xae	0xa2	12	+0.074	o2->base	o2-od	
parity-gap	BASE/Textntry	?Draw@textEntryWidget@@UAEXXZ	71.0577	100.0000	71.0577	71.0577	100.0000	100.0000	172	0xd2dc0	0xd9410	0x253	0x160	243	+0.690	o2->base	o2-od	
parity-gap	BASE/soundmgr	??0soundManager@@QAE@XZ	48.5300	100.0000	48.5300	48.5300	100.0000	100.0000	168	0xb5bd0	0xcc330	0x146	0xd7	111	+0.516	base->base	od-od	yes
parity-gap	SOURCE/PHILAI	?ProbableOutcomeOfBattle@philAI@@QAEXPAVarmyGroup@@PAVhero@@010HHHAAMAAH3333@Z	90.2287	100.0000	90.2287	90.2287	99.5084	100.0000	165	0x82969	0x3c6e2	0x69d	0x791	-244	-0.126	base->base	od-od	
parity-gap	BASE/Misc	?FadeTo@@YIXPAE0H@Z	60.7387	100.0000	60.7387	60.7387	91.0649	100.0000	162	0xbfd40	0xc64e0	0x19c	0xf8	164	+0.661	o2->base_nogf	o2-od	
parity-gap	SOURCE/GAME	?GenerateStandardFileName@@YIXPAD0@Z	62.0472	100.0000	62.0472	62.0472	100.0000	100.0000	162	0x4d202	0x71d89	0x1ac	0x12e	126	+0.417	base->base	od-od	yes
parity-gap	SOURCE/KB	?ShowCongrats@@YIXH@Z	82.8860	100.0000	82.8860	82.8860	100.0000	100.0000	162	0x6d109	0x9e5fd	0x3b2	0x303	175	+0.227	base->base	od-od	yes
parity-gap	SOURCE/PHILAI	?CheckReload@philAI@@QAEXXZ	83.6030	100.0000	83.6030	83.6030	99.9940	100.0000	160	0x7f04d	0x38785	0x3d2	0x4b8	-230	-0.190	base->base	od-od	
parity-gap	SOURCE/Newgame	?UpdateNewGameWindow@game@@QAEXXZ	87.7824	100.0000	87.7824	87.7824	100.0000	100.0000	158	0x76e3b	0xb88d6	0x50f	0x59c	-141	-0.098	base->base	od-od	
parity-gap	SOURCE/SPELLS	?HandleCastSpell@@YIHAAUtag_message@@@Z	72.2464	100.0000	72.2464	72.2464	100.0000	100.0000	158	0x98cbc	0x20aec	0x23b	0x2aa	-111	-0.163	base->base_nogf	od-od	
parity-gap	SOURCE/TOWNMGR	?SetupWell@townManager@@QAEXPAVheroWindow@@@Z	90.3157	100.0000	90.3157	90.3157	100.0000	100.0000	156	0xaacfd	0x1a1b4	0x647	0x5cf	120	+0.081	base->base	od-od	
parity-gap	BASE/droplist	?Read@dropListWidget@@QAEXXZ	79.9388	100.0000	79.9388	79.9388	98.1967	100.0000	152	0xcff40	0xdbfe0	0x2f8	0x21d	219	+0.405	o2->base	o2-od	
parity-gap	SOURCE/CMBTMGR	?SetupCombat@combatManager@@QAEXHHPAVhero@@PAVarmyGroup@@PAVtown@@01HHH@Z	89.1214	100.0000	89.1214	89.1214	100.0000	100.0000	149	0x26089	0x90032	0x55e	0x5f2	-148	-0.097	base->base	od-od	
parity-gap	BASE/MOUSEMGR	?SetPointer@mouseManager@@QAEXH@Z	89.3955	100.0000	89.3955	89.3955	100.0000	100.0000	146	0xb95e0	0xc9630	0x560	0x405	347	+0.337	o2->base	o2-od	
parity-gap	BASE/Misc	?ReadPrefsFromRegistry@@YIXXZ	93.3709	100.0000	93.3709	93.3709	100.0000	100.0000	146	0xbe410	0xc4ca0	0x89f	0x7ab	244	+0.124	o2->base_nogf	o2-od	
parity-gap	BASE/Misc	?FadeOut@@YIXH@Z	67.1040	100.0000	67.1040	67.1040	100.0000	100.0000	143	0xbdc90	0xc46d0	0x1b2	0xe6	204	+0.887	o2->base_nogf	o2-od	
parity-gap	SOURCE/TOWNMGR	?SetCommandAndText@townManager@@QAEXAAUtag_message@@@Z	90.6950	100.0000	90.6950	90.6950	100.0000	100.0000	143	0xa61d0	0x1531b	0x5fe	0x5c5	57	+0.039	base->base	od-od	
parity-gap	BASE/Misc	?DataEntryWindowHandler@@YIHAAUtag_message@@@Z	72.3759	100.0000	72.3759	72.3759	100.0000	100.0000	140	0xc0a50	0xc6e50	0x1fa	0x173	135	+0.364	o2->base_nogf	o2-od	
parity-gap	SOURCE/EVENTS	?GenericSiteEvent@advManager@@QAEXPAVmapCell@@PAVhero@@@Z	92.4630	100.0000	92.4630	92.4630	99.5835	100.0000	135	0x42256	0xaed38	0x6fc	0x6fe	-2	-0.001	base->base_nogf	od-od	
parity-gap	SOURCE/ARMY	?Init@army@@QAEXHHHHHH@Z	85.2227	100.0000	85.2227	85.2227	100.0000	100.0000	134	0x187f1	0x4aa85	0x38c	0x443	-183	-0.168	base->base	od-od	
parity-gap	SOURCE/RECRUIT	?SetupRecruitWin@@YIXPAVheroWindow@@HHHHH@Z	73.8394	100.0000	73.8394	73.8394	100.0000	100.0000	130	0x8c330	0x8b310	0x1f2	0x18c	102	+0.258	base->base	od-od	yes
parity-gap	SOURCE/TOWNMGR	?BuyBuild@townManager@@QAEHHHH@Z	96.6111	100.0000	96.6111	96.6111	99.2959	100.0000	125	0xa89fe	0x17c9d	0xe6c	0xf35	-201	-0.052	base->base	od-od	
parity-gap	BASE/Midi	?MIDIShutdown@soundManager@@QAEXXZ	49.4918	100.0000	49.4918	49.4918	100.0000	100.0000	121	0xc5830	0xd3910	0xf0	0x1a9	-185	-0.435	o2->base	o2-od	
parity-gap	SOURCE/FLY	?ValidFlight@army@@QAEHHH@Z	87.4817	100.0000	87.4817	87.4817	100.0000	100.0000	115	0x4b21e	0xa5b95	0x396	0x405	-111	-0.108	base->base	od-od	
parity-gap	SOURCE/CURSOR	?DrawCursor@advManager@@QAEXXZ	92.3865	100.0000	92.3865	92.3865	100.0000	100.0000	114	0x334da	0xd834	0x5dd	0x5f8	-27	-0.018	base->base	od-od	
parity-gap	SOURCE/HISCORE	?Update@highScoreManager@@QAEXXZ	93.5013	100.0000	93.5013	93.5013	99.7052	100.0000	112	0x654ef	0x89e6a	0x6bc	0x7d3	-279	-0.139	base->base	od-od	
parity-gap	SOURCE/GAME	?ReceiveSaveGame@game@@QAEHHHHH@Z	93.6168	100.0000	93.6168	93.6168	100.0000	100.0000	111	0x5e236	0x83937	0x6c8	0x68d	59	+0.035	base->base	od-od	
parity-gap	BASE/EXEC	?MainLoop@executive@@QAEXXZ	71.1593	100.0000	71.1593	71.1593	100.0000	100.0000	109	0xc5580	0xd1a90	0x179	0xfa	127	+0.508	o2->base	o2-od	
parity-gap	SOURCE/Castle	?SetupCastle@townManager@@QAEXPAVheroWindow@@H@Z	97.1732	100.0000	97.1631	97.1732	100.0000	100.0000	109	0x24320	0x1d040	0xf10	0x10bb	-427	-0.100	base->base	od-od	
parity-gap	SOURCE/GAME	?PerDay@game@@QAEXXZ	95.7698	100.0000	95.7698	95.7698	100.0000	100.0000	109	0x574c6	0x7c761	0xa10	0x9aa	102	+0.041	base->base	od-od	
parity-gap	BASE/Misc	?MAKEFILEID@@YIKPAD@Z	59.6393	100.0000	59.6393	59.6393	100.0000	100.0000	107	0xbd8e0	0xc44f0	0x10a	0x48	194	+2.694	o2->base_nogf	o2-od	
parity-gap	BASE/Textntry	?SetupDisplayString@textEntryWidget@@QAEXPADG@Z	84.0976	100.0000	84.0976	84.0976	97.0946	100.0000	106	0xd3020	0xd9570	0x29a	0x1be	220	+0.493	o2->base	o2-od	
parity-gap	SOURCE/GAME	?CountShrines@game@@QAEHH@Z	72.1923	100.0000	72.1923	72.1923	100.0000	100.0000	106	0x60c8c	0x866a5	0x17d	0x119	100	+0.356	base->base	od-od	yes
parity-gap	SOURCE/TOWNMGR	?SetupTown@townManager@@QAEXXZ	95.8899	100.0000	95.8899	95.8899	100.0000	100.0000	104	0xa51da	0x1436f	0x9df	0x95a	133	+0.056	base->base	od-od	
parity-gap	SOURCE/TOWNMGR	?RecruitHero@townManager@@QAEHHH@Z	94.3634	100.0000	94.3634	94.3634	100.0000	100.0000	102	0xaa0d8	0x19523	0x70b	0x706	5	+0.003	base->base	od-od	
parity-gap	SOURCE/DRAWING	?CombatMessage@combatManager@@QAEXPADHHH@Z	89.2326	100.0000	89.2000	89.2326	100.0000	100.0000	101	0x37e48	0x2a88	0x3a7	0x3f8	-81	-0.080	base->base	od-od	
parity-gap	SOURCE/PHILAI	?RedistributeTroops@philAI@@QAEXPAVarmyGroup@@0HHHHH@Z	89.8799	100.0000	89.8799	89.8799	99.8032	100.0000	99	0x87687	0x420bd	0x3d1	0x4ba	-233	-0.193	base->base	od-od	
parity-gap	SOURCE/TOWNMGR	?ChangeTown@townManager@@QAEXXZ	18.4375	100.0000	18.4375	18.4375	100.0000	100.0000	97	0xa5163	0x142f8	0x77	0x77	0	+0.000	base->base	od-od	
parity-gap	SOURCE/CMBTMGR	?Open@combatManager@@UAEHH@Z	91.0698	100.0000	91.0698	91.0698	100.0000	100.0000	95	0x269fe	0x90aa0	0x427	0x43f	-24	-0.022	base->base	od-od	
parity-gap	SOURCE/ADVMGR	?UpdBottomViewHero@advManager@@QAEHXZ	93.8062	100.0000	93.8062	93.8062	100.0000	100.0000	94	0xbd33	0x61dd8	0x5ef	0x583	108	+0.077	base->base	od-od	
parity-gap	SOURCE/GAME	?ClaimTown@game@@QAEXHHH@Z	87.8834	100.0000	87.8834	87.8834	100.0000	100.0000	94	0x53fd3	0x78fea	0x307	0x3aa	-163	-0.174	base->base	od-od	
parity-gap	BASE/FONT	?DrawStringExecute@font@@IAEXPADHHHHHHH@Z	83.1765	100.0000	83.1765	83.1765	99.8913	100.0000	92	0xc3800	0xc7120	0x222	0x24a	-40	-0.068	base_oi->base_gf	od-od	
parity-gap	BASE/bmap2	?BlitBitmap@@YIXPAVbitmap@@HHHH0HH@Z	50.2264	100.0000	50.2264	50.2264	98.6000	100.0000	91	0xc65d0	0xca570	0xb7	0xa6	17	+0.102	o2->base	o2-od	
parity-gap	SOURCE/CMBTMGR	?KeepAttack@combatManager@@QAEXH@Z	94.6513	100.0000	94.6513	94.6513	99.6938	100.0000	87	0x29990	0x9412d	0x662	0x74f	-237	-0.127	base->base	od-od	
parity-gap	SOURCE/PHILAI	?ResetHeroRVs@@YIXHHH@Z	78.0472	100.0000	78.0472	78.0472	92.5000	100.0000	86	0x7e1ef	0x3781b	0x187	0x1b5	-46	-0.105	base->base	od-od	
parity-gap	BASE/droplist	?Draw@dropListWidget@@UAEXXZ	70.5545	100.0000	70.5545	70.5545	100.0000	100.0000	84	0xd07b0	0xdc630	0x11c	0xaf	109	+0.623	o2->base	o2-od	
parity-gap	BASE/Midi	?MIDIPlay@soundManager@@QAEXH@Z	78.0583	100.0000	78.0583	78.0583	100.0000	100.0000	83	0xc5920	0xd3ac0	0x17b	0x3ab	-560	-0.596	o2->base	o2-od	
parity-gap	SOURCE/COMMAND	?DoSurrender@combatManager@@QAEHXZ	91.3609	100.0000	91.3609	91.3609	100.0000	100.0000	83	0x3049b	0x2fbf0	0x3bd	0x43d	-128	-0.118	base->base	od-od	
parity-gap	SOURCE/EVENTS	?CombatMonsterEvent@advManager@@QAEHPAVhero@@HHPAVmapCell@@HHHHHHHHHHH@Z	93.7931	100.0000	93.7931	93.7931	100.0000	100.0000	83	0x4403b	0xb0d51	0x536	0x62f	-249	-0.157	base->base_nogf	od-od	
parity-gap	SOURCE/CMBTMGR	?GenerateMap@combatManager@@QAEXXZ	85.8625	100.0000	85.8625	85.8625	100.0000	100.0000	82	0x2746e	0x91641	0x244	0x365	-289	-0.333	base->base	od-od	
parity-gap	SOURCE/GAME	?ViewArmyHandler@@YIHAAUtag_message@@@Z	90.8545	100.0000	90.8545	90.8545	100.0000	100.0000	82	0x56231	0x7b2cf	0x37d	0x3f5	-120	-0.118	base->base	od-od	
parity-gap	SOURCE/PHILAI	?EvaluateTownEvent@philAI@@QAEHHHHHPAH@Z	91.5564	100.0000	91.5564	91.5564	98.3557	100.0000	82	0x8bf2a	0x47211	0x3c7	0x483	-188	-0.163	base->base	od-od	
parity-gap	BASE/Midi	?MIDIStartup@soundManager@@QAEXXZ	0.0000	100.0000	0.0000	0.0000	100.0000	100.0000	81	0xc57d0	0xd3850	0x51	0xb8	-103	-0.560	o2->base	o2-od	
parity-gap	SOURCE/ARMY	?WalkTo@army@@QAEHH@Z	88.1443	100.0000	88.1443	88.1443	100.0000	100.0000	81	0x1d245	0x4f443	0x2aa	0x2ee	-68	-0.091	base->base	od-od	
parity-gap	SOURCE/PHILAI	?GetBestBHC@philAI@@QAEXHAAUBHC@@@Z	94.3765	100.0000	94.3765	94.3765	100.0000	100.0000	81	0x81580	0x3b154	0x59f	0x5f4	-85	-0.056	base->base	od-od	
parity-gap	SOURCE/GAME	?ProcessOnMapHeroes@game@@QAEXXZ	97.1447	100.0000	95.6767	97.1447	100.0000	100.0000	79	0x5ce94	0x82547	0x726	0x774	-78	-0.041	base->base	od-od	
parity-gap	SOURCE/ADVMGR	?SetEnvironmentOrigin@advManager@@QAEXHHH@Z	88.7180	100.0000	88.7180	88.7180	100.0000	100.0000	78	0x105eb	0x6668e	0x2b6	0x338	-130	-0.158	base->base	od-od	
parity-gap	SOURCE/GAME	?CheckForTimeEvent@game@@QAEXXZ	90.1346	100.0000	90.1346	90.1346	98.6147	100.0000	78	0x604d2	0x85e07	0x318	0x34c	-52	-0.062	base->base	od-od	
parity-gap	SOURCE/Overview	?ProcessIconSelect@game@@QAEHHH@Z	93.4793	100.0000	93.4793	93.4793	100.0000	100.0000	77	0x7c9b3	0xab6c	0x4a3	0x4fa	-87	-0.068	base->base	od-od	
